zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
31605,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30667,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30215,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31563,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31070,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31907,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31721,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31523,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30005,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31641,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30125,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31331,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30326,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31315,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30537,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31008,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30663,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31405,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30452,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31631,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30071,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31044,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31789,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30521,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30666,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31557,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30072,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30736,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31735,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31707,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30067,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30259,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30082,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30241,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30183,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30319,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31650,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31320,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31774,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30213,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30571,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30650,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30055,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30132,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30705,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30354,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31015,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
39862,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30520,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30103,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30083,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30230,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31032,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30906,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30043,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30331,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31030,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
39861,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31551,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31071,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30311,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31757,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31415,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30228,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30530,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
39877,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31079,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31550,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30293,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31904,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30575,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30276,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30248,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30349,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30127,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31076,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30297,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31055,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30519,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30295,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31090,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30334,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31625,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30350,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30750,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30817,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31626,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30345,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31765,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30274,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30467,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30456,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31824,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31606,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30223,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30620,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31763,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31042,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31775,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31525,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30296,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30420,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30328,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30126,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30324,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30012,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30307,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31512,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30041,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30747,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30306,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31009,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
